0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:06:46 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:06:56 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:06:56 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:02 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:13 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:14 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:14 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:15 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:15 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:26 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:27 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:27 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:29 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:39 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:39 +0900] "GET /webProject/day3/css/external.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:39 +0900] "GET /webProject/day3/css/external2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:07:46 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:08:06 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:08:52 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:09:20 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:09:22 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:09:38 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:09 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:22 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:48 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:50 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:50 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:50 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:10:51 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
