0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:07:01 +0900] "GET /webProject/doit/15/css/event.css HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:07:01 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:07:01 +0900] "GET /webProject/doit/15/images/flower.jpg HTTP/1.1" 200 49415
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:08 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:09 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:10 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:10 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:19 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:19 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:20 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:20 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:22 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:22 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:36 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:36 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:37 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:37 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:37 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:37 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:37 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:37 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:37 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:37 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:41 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:41 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:09:52 +0900] "GET /webProject/doit/15/css/event.css HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:10:01 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:10:01 +0900] "GET /webProject/doit/15/css/event.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:10:01 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:10:01 +0900] "GET /webProject/doit/15/images/flower.jpg HTTP/1.1" 200 49415
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:10:35 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:10:35 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:02 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:02 +0900] "GET /webProject/doit/15/css/event.css HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:02 +0900] "GET /webProject/doit/15/images/flower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:02 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:24 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:24 +0900] "GET /webProject/doit/15/css/event.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:24 +0900] "GET /webProject/doit/15/images/flower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:25 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:26 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:26 +0900] "GET /webProject/doit/15/css/event.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:26 +0900] "GET /webProject/doit/15/images/flower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:26 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:49 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:49 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:50 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:50 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:14:50 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:15:59 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:15:59 +0900] "GET /webProject/doit/15/css/event.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:15:59 +0900] "GET /webProject/doit/15/images/flower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:15:59 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:17:03 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:17:03 +0900] "GET /webProject/doit/15/css/event.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:17:03 +0900] "GET /webProject/doit/15/images/flower.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:17:03 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:17:34 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:17:34 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:24:38 +0900] "GET /webProject/doit/15/event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:24:38 +0900] "GET /webProject/doit/15/js/event.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:34:31 +0900] "GET /webProject/day0407/objectTest.html HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [07/Apr/2021:11:35:06 +0900] "GET /webProject/day0407/objectTest.html HTTP/1.1" 304 -
